Match Number,Home Team,Away Team,Home Team Player-1,Home Team Player-2,Home Team Player-1 Score,Home Team Player-1 Balls Taken,Home Team Partnership Score,Home Team Partnership Balls Taken,Home Team Player-2 Score,Home Team Player-2 Balls Taken,Away Team Player-1,Away Team Player-2,Away Team Player-1 Score,Away Team Player-1 Balls Taken,Away Team Partnership Score,Away Team Partnership Balls Taken,Away Team Player-2 Score,Away Team Player-2 Balls Taken
1,Kolkata Knight Riders,Royal Challengers Bengaluru,SP Narine,Q de Kock,0,0,4,5,4,5,V Kohli,PD Salt,36,20,95,51,56,31
1,Kolkata Knight Riders,Royal Challengers Bengaluru,SP Narine,AM Rahane,44,26,103,55,55,29,V Kohli,D Padikkal,13,9,23,19,10,10
1,Kolkata Knight Riders,Royal Challengers Bengaluru,AM Rahane,VR Iyer,1,2,2,3,1,1,V Kohli,RM Patidar,10,7,44,23,34,16
1,Kolkata Knight Riders,Royal Challengers Bengaluru,VR Iyer,A Raghuvanshi,5,6,16,10,10,4,V Kohli,LS Livingstone,0,0,15,5,15,5
1,Kolkata Knight Riders,Royal Challengers Bengaluru,RK Singh,A Raghuvanshi,12,10,20,17,8,7,null,null,null,null,null,null,null,null
1,Kolkata Knight Riders,Royal Challengers Bengaluru,AD Russell,A Raghuvanshi,4,3,5,4,1,1,null,null,null,null,null,null,null,null
1,Kolkata Knight Riders,Royal Challengers Bengaluru,Ramandeep Singh,A Raghuvanshi,6,9,18,19,11,10,null,null,null,null,null,null,null,null
1,Kolkata Knight Riders,Royal Challengers Bengaluru,Ramandeep Singh,Harshit Rana,0,0,5,6,5,6,null,null,null,null,null,null,null,null
1,Kolkata Knight Riders,Royal Challengers Bengaluru,Ramandeep Singh,SH Johnson,0,0,1,1,1,1,null,null,null,null,null,null,null,null
