Match Number,Date,Day,Venue,City,Match Type,Home Team,Away Team,Home Team Captain,Away Team Captain,Toss Winner,Toss Decision,Home Team Score,Home Team Wickets Fallen,Home Team Overs Played,Home Team Extras Given,Home Team Run Rate,Away Team Score,Away Team Wickets Fallen,Away Team Overs Played,Away Team Extras Given,Away Team Run Rate,Home Team Impact Player,Home Team Substituted Player,Away Team Impact Player,Away Team Substituted Player,Winning Team,Winning Category,Winning Margin,Player Of The Match,POTM Team,POTM Category,POTM Performance,Curvv Super Striker Of The Match,Curvv Super Striker Strike Rate,Curvv Super Striker Team,Angel One Super Sixes Of The Match,Angel One Sixes Hit,Angel One Six Hitter Team,Rupay On The Go 4s,Rupay 4s,Rupay On The Go 4s Team,TATA IPL Green Dot Balls Of The Match,Green Dot Balls,Green Dot Balls Player Team,My11Circle Fantasy King Of The Match,My11Circle Fantasy King Of The Match Team
1,22/03/2025,Saturday,Eden Gardens,Kolkata,Night,Kolkata Knight Riders,Royal Challengers Bengaluru,Ajinkya Rahane,Rajat Patidar,Royal Challengers Bengaluru,Bowl First,174,8,20.0,3,8.70,177,3,16.2,6,10.84,Vaibhav Arora,Angkrish Raghuvanshi,Devdutt Padikkal,Suyash Sharma,Royal Challengers Bengaluru,Wickets,7,Krunal Pandya,Royal Challengers Bengaluru,Bowling,3/29 (4),Rajat Patidar,212.50,Royal Challengers Bengaluru,Ajinkya Rahane,4,Kolkata Knight Riders,Phil Salt,9,Royal Challengers Bengaluru,Josh Hazlewood,16,Royal Challengers Bengaluru,Sunil Narine,Kolkata Knight Riders
2,23/03/2025,Sunday,Rajiv Gandhi International,Hyderabad,Day,Sunrisers Hyderabad,Rajasthan Royals,Pat Cummins,Riyan Parag,Rajasthan Royals,Bowl First,286,6,20.0,13,14.30,242,6,20.0,18,12.10,Adam Zampa,Travis Head,Sanju Samson,Fazalhaq Farooqi,Sunrisers Hyderabad,Runs,44,Ishan Kishan,Sunrisers Hyderabad,Batting,106 (47),Shubham Dubey,309.09,Rajasthan Royals,Ishan Kishan,6,Sunrisers Hyderabad,Ishan Kishan,11,Sunrisers Hyderabad,Tushar Deshpande,8,Rajasthan Royals,Ishan Kishan,Sunrisers Hyderabad
3,23/03/2025,Sunday,MA Chidambaram,Chennai,Night,Chennai Super Kings,Mumbai Indians,Ruturaj Gaikwad,Suryakumar Yadav,Chennai Super Kings,Bowl First,158,6,19.1,10,8.24,155,9,20.0,5,7.75,Rahul Tripathi,Khaleel Ahmed,Rohit Sharma,Vignesh Puthur,Chennai Super Kings,Wickets,4,Noor Ahmed,Chennai Super Kings,Bowling,4/18 (4),Ruturaj Gaikwad,203.85,Chennai Super Kings,Rachin Ravindra,4,Chennai Super Kings,Ruturaj Gaikwad,6,Chennai Super Kings,Khaleel Ahmed,15,Chennai Super Kings,Noor Ahmed,Chennai Super Kings
4,24/03/2025,Monday,ACA-VDCA Cricket,Visakhapatnam,Night,Delhi Capitals,Lucknow Super Giants,Axar Patel,Rishabh Pant,Delhi Capitals,Bowl First,211,9,19.3,7,10.82,209,8,20.0,8,10.45,Ashutosh Sharma,Mukesh Kumar,M Siddharth,Mitchell Marsh,Delhi Capitals,Wickets,1,Ashutosh Sharma,Delhi Capitals,Batting,66 (31),Vipraj Nigam,260.00,Delhi Capitals,Nicholas Pooran,7,Lucknow Super Giants,Nicholas Pooran,6,Lucknow Super Giants,Kuldeep Yadav,15,Delhi Capitals,Nicholas Pooran,Lucknow Super Giants
5,25/03/2025,Tuesday,Narendra Modi,Gujurat,Night,Gujarat Titans,Punjab Kings,Shubman Gill,Shreyas Iyer,Gujarat Titans,Bowl First,232,5,20.0,14,11.60,243,5,20.0,12,12.15,Sherfane Rutherford,Prasidh Krishna,Vyshak Vijay Kumar,Priyansh Arya,Punjab Kings,Runs,11,Shreyas Iyer,Punjab Kings,Batting,97 (42),Shashank Singh,275.00,Punjab Kings,Shreyas Iyer,9,Punjab Kings,Priyansh Arya,7,Punjab Kings,Sai Kishore,12,Gujarat Titans,Shreyas Iyer,Punjab Kings
