Match Number,Opponent,Batter Type,Batter Name,Runs Scored,Ball Taken,Minutes Played,Fours,Sixes,Strike Rate,Fives,Ones,Twos,Threes,Third Man,Third Man Boundaries,Point,Point Boundaries,Cover,Cover Boundaries,Long Off,Long Off Boundaries,Fine Leg,Fine Leg Boundaries,Square Leg,Square Leg Boundaries,Mid Wicket,Mid Wicket Boundaries,Long On,Long On Boundaries,Status
1,Kolkata Knight Riders,Right-Hand,Phil Salt,56,31,40,9,2,180.65,0,6,1,0,8,2,0,0,9,2,12,2,2,0,9,2,1,0,15,3,Caught
1,Kolkata Knight Riders,Right-Hand,Virat Kohli,59,36,77,4,3,163.89,0,21,2,0,3,0,4,0,7,1,14,2,0,0,2,0,21,3,8,1,Not Out
1,Kolkata Knight Riders,Left-Hand,Devdutt Padikkal,10,10,11,1,0,100.00,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,3,0,Caught
1,Kolkata Knight Riders,Right-Hand,Rajat Patidar,34,16,17,5,1,212.50,0,4,2,0,0,0,8,2,4,1,0,0,10,2,2,0,4,0,6,1,Caught
1,Kolkata Knight Riders,Right-Hand,Liam Livingstone,15,5,4,2,1,300.00,0,1,0,0,0,0,1,0,0,0,0,0,6,1,4,1,0,0,4,1,Not Out
