Match Number,Date,Day,Venue,City,Match Timing,RCB Captain,Opponent Captain,Team,Opponent,Home / Away,Toss Winner,Toss Decision,RCB Batting Score,RCB Wickets Fallen,RCB Overs Played,RCB Extras Given,RCB Run Rate,Opponent Batting Score,Opponent Wickets Fallen,Opponent Overs Played,Opponent Team Extras Given,RCB Impact Player,RCB Substituted Player,Opponent Impact Player,Opponent Substituted Player,Winning Team,Winning Category,Winning Margin,RCB Best Batsman,RCB Best Bowler,Opponent Best Batsman,Opponent Best Bowler,Player Of The Match,POTM Team,POTM Category,POTM Performance
1,22/03/2025,Saturday,Eden Gardens,Kolkata,Night,Rajat Patidar,Ajinkya Rahane,Royal Challengers Bengaluru,Kolkata Knight Riders,Away,Royal Challengers Bengaluru,Bowl First,177,3,16.2,6,10.84,174,8,20,3,Devdutt Padikkal,Suyash Sharma,Vaibhav Arora,Angkrish Raghuvanshi,Royal Challengers Bengaluru,Wickets,7,Virat Kohli,Krunal Pandya,Ajinkya Rahane,Sunil Narine,Krunal Pandya,Royal Challengers Bengaluru,Bowling,3/29 (4)
2,28/03/2025,Friday,MA Chidambaram,Chennai,Night,Rajat Patidar,Ruturaj Gaikwad,Royal Challengers Bengaluru,Chennai Super Kings,Away,Chennai Super Kings,Bowl First,196,7,20,3,9.80,146,8,20,11,Suyash Sharma,Devdutt Padikkal,Shivam Dube,Matheesha Pathirana,Royal Challengers Bengaluru,Runs,50,Rajat Patidar,Josh Hazlewood,Rachin Ravindra,Noor Ahmed,Rajat Patidar,Royal Challengers Bengaluru,Batting,51 (32)
